County,Agency,Year,Murder,Rape,Robbery,Aggravated Assault,Burglary,Larceny,Motor Vehicle Theft,Region
Dutchess,Red Hook Vg PD,2004,0,0,0,0,0,0,0,Non-New York City
Nassau,Lynbrook Vg PD,2015,0,1,3,7,20,119,9,Non-New York City
Schoharie,Schoharie PCT (NYC-DEPP),2003,0,0,0,0,0,0,0,Non-New York City
Steuben,Steuben County Sheriff,2017,0,8,0,15,25,64,3,Non-New York City
Chautauqua,Chautauqua County Sheriff,2016,0,17,6,28,182,387,22,Non-New York City
Erie,Erie County Sheriff,2015,0,2,12,63,189,646,22,Non-New York City
Suffolk,Suffolk County PD,2012,23,37,681,1044,3699,17686,1046,Non-New York City
Franklin,Franklin County State Police,2015,0,36,1,13,84,268,9,Non-New York City
Westchester,Croton-Kensico PCT (NYC-DEPP),2011,0,0,0,0,0,6,0,Non-New York City
Suffolk,East Hampton Town PD,2014,0,1,0,6,39,244,4,Non-New York City
St Lawrence,Norfolk Town PD,2015,0,0,0,3,0,3,0,Non-New York City
Chautauqua,County Total,2016,4,84,65,203,727,2139,105,Non-New York City
Onondaga,Jordan Vg PD,2015,0,0,0,0,0,2,0,Non-New York City
Chemung,Elmira Heights Vg PD,2015,0,1,1,1,13,46,1,Non-New York City
Orange,County Total,2016,11,132,234,527,774,5438,197,Non-New York City
Otsego,Oneonta City PD,2017,1,7,2,17,50,183,1,Non-New York City
Albany,Colonie Town PD,2015,1,3,28,42,201,1745,37,Non-New York City
Columbia,Greenport Town PD,2014,0,0,0,1,5,164,2,Non-New York City
Nassau,Long Beach City PD,1997,1,1,34,31,83,519,118,Non-New York City
Dutchess,County Total,2009,4,35,282,588,881,4137,168,Non-New York City
Westchester,County Total,2006,20,83,1364,1301,2202,11621,1087,Non-New York City
Nassau,Oyster Bay Cove Vg PD,2010,0,0,0,0,2,6,0,Non-New York City
Erie,Eden Town PD,1992,0,0,1,12,40,101,7,Non-New York City
Suffolk,Northport Vg PD,1991,0,1,1,9,47,145,11,Non-New York City
Erie,County Total,2010,62,234,1684,2548,6534,19672,1834,Non-New York City
Onondaga,Cicero Town PD,2008,0,1,4,5,65,404,13,Non-New York City
Genesee,LeRoy Vg PD,1998,0,0,0,6,11,108,8,Non-New York City
Westchester,Buchanan Vg PD,1997,0,0,0,1,12,35,3,Non-New York City
Westchester,New Castle Town PD,2000,0,0,1,14,7,112,14,Non-New York City
Erie,Eden Town PD,2005,0,0,0,0,21,46,2,Non-New York City
Erie,Buffalo City PD,2010,55,157,1466,1921,4296,9027,1430,Non-New York City
Orange,Orange County Park PD,1993,0,2,0,0,6,12,0,Non-New York City
Lewis,Lewis County Sheriff,2009,1,2,2,6,75,106,8,Non-New York City
Niagara,North Tonawanda City PD,1996,0,0,12,12,147,651,36,Non-New York City
